,text_final
57,"'despite', 'name', 'outdoor', 'musical', 'palo', 'duro', 'canyon', 'state', 'park', 'lone', 'star', 'state', 'america', 'need', 'today'"
58,"'gas', 'price', 'roof', 'joe', 'biden', 'presidency', 'analyst', 'say', 'go', 'get', 'bad'"
59,"'ban', 'racist', 'speaking', 'use', 'representative', 'government', 'deny', 'privilege', 'receive', 'taxpayer', 'sinecure', 'help', 'pursue', 'america', 'collapse'"
60,"'path', 'virtually', 'exact', 'reason', 'live', 'tremendous', 'pain', 'result'"
61,"'nothing', 'humane', 'yield', 'border', 'control', 'criminal', 'cartel', 'traffic', 'abandon', 'toddler', 'brutally', 'rape', 'child', 'woman'"
62,"'home', 'home', 'terrify', 'life', 'mayor', 'lori', 'lightfoot', 'carenotcops', 'organizer', 'ashamed'"
63,"'evolution', 'form', 'white', 'supremacy', 'scientific', 'american', 'way', 'say', 'synonymous', 'phrase', 'bible', 'racist'"
64,"'people', 'wear', 'mask', 'default', 'business', 'newly', 'open', 'common', 'sight', 'elsewhere', 'last', 'year', 'still', 'status', 'quo', 'part', 'california'"
65,"'deny', 'priority', 'small', 'business', 'assistance', 'restaurant', 'great', 'need', 'sex', 'race'"
66,"'celebrate', 'america', 'founding', 'fight', 'independence', 'controversial', 'left', 'reaction', 'july', 'prof', 'politicize', 'patriotism'"
67,"'introduce', 'loving', 'playful', 'family', 'blue', 'heeler', 'dog', 'animated', 'series', 'bluey', 'become', 'runaway', 'global', 'hit', 'bring', 'uncommon', 'heart', 'creativity', 'child', 'tv'"
68,"'executive', 'director', 'steer', 'committee', 'cloak', 'tribe', 'righteousness', 'obstruct', 'oil', 'gas', 'development', 'faraway', 'land'"
69,"'president', 'joe', 'biden', 'border', 'crisis', 'swell', 'case', 'surge', 'detention', 'center', 'accord', 'new', 'york', 'time', 'immigration', 'custom', 'enforcement', 'report', 'read'"
70,"'parent', 'must', 'intentional', 'teach', 'child', 'conversation', 'combat', 'leftist', 'narrative', 'michelle', 'easton', 'say'"
71,"'one', 'minor', 'detail', 'complicate', 'cut', 'dry', 'narrative', 'young', 'remove', 'hand', 'white', 'supremacy', 'man', 'put', 'hand', 'also', 'black'"
72,"'democrat', 'terry', 'mcauliffe', 'one', 'many', 'democrat', 'repeat', 'gun', 'lie', 'push', 'agenda'"
73,"'household', 'whether', 'divorce', 'birth', 'wedlock', 'hurt', 'work', 'class', 'much', 'wealthy', 'people', 'write', 'essay', 'new', 'york', 'time'"
74,"'vast', 'unelected', 'bureaucracy', 'need', 'exposure', 'get', 'much', 'attention', 'elected', 'official', 'involve'"
75,"'retail', 'store', 'san', 'francisco', 'los', 'angeles', 'sacramento', 'shorten', 'business', 'hour', 'amid', 'surge', 'organize', 'retail', 'theft'"
76,"'army', 'reportedly', 'look', 'mandate', 'vaccination', 'service', 'member', 'soon', 'pending', 'full', 'fda', 'licensure'"
77,"'people', 'dumb', 'look', 'around', 'see', 'tell', 'wrong', 'joke', 'even', 'simply', 'laugh', 'one', 'quick', 'way', 'destroy', 'life'"
78,"'enact', 'several', 'modest', 'reform', 'could', 'attract', 'democrat', 'rebuild', 'bipartisan', 'consensus', 'tackle', 'unsustainable', 'nature', 'entitlement'"
79,"'cbo', 'project', 'national', 'debt', 'exceed', 'size', 'nation', 'economy', 'end', 'fiscal', 'three', 'short', 'month', 'away'"
80,"'new', 'headquarters', 'open', 'discourse', 'coalition', 'establish', 'spring', 'bucknell', 'university', 'alumni', 'support', 'innovative', 'program', 'nearby', 'campus'"
81,"'guest', 'host', 'rotate', 'almost', 'quickly', 'contestant', 'hard', 'player', 'build', 'sense', 'time', 'host', 'let', 'alone', 'momentum'"
82,"'discover', 'instead', 'add', 'another', 'item', 'make', 'time', 'regularly', 'exercise', 'actually', 'help', 'create', 'organized', 'home', 'life'"
83,"'princeton', 'associate', 'professor', 'matthew', 'karp', 'talk', 'politics', 'past', 'episode', 'federalist', 'radio', 'hour'"
84,"'nsa', 'deny', 'target', 'tucker', 'carlson', 'deny', 'read', 'email', 'nsa', 'also', 'deny', 'may', 'access', 'communication', 'incidental', 'collection'"
85,"'supreme', 'court', 'response', 'argument', 'make', 'attack', 'arizona', 'provision', 'expose', 'folly', 'biden', 'administration', 'lawsuit', 'georgia'"
86,"'excessively', 'narrow', 'medical', 'exemption', 'covid', 'vaccine', 'mandate', 'many', 'college', 'put', 'student', 'unnecessary', 'risk', 'serious', 'complication', 'include', 'hospitalization', 'death'"
87,"'experienced', 'hand', 'emergency', 'room', 'diagnose', 'almost', 'glance', 'see', 'novella', 'many', 'time', 'first', 'would', 'last'"
88,"'democrat', 'determination', 'get', 'way', 'infrastructure', 'rest', 'spending', 'plan', 'may', 'mean', 'republican', 'roll', 'ruthless', 'adversary', 'yet'"
89,"'claim', 'make', 'extreme', 'environmentalist', 'account', 'much', 'death', 'destruction', 'yet', 'still', 'enjoy', 'much', 'legitimacy', 'among', 'elite', 'developed', 'world'"
90,"'administrator', 'provide', 'collegiate', 'athletes', 'platform', 'speak', 'important', 'issue', 'transform', 'athletics', 'system', 'coercive', 'speech'"
91,"'ockham', 'razor', 'say', 'simple', 'answer', 'usually', 'right', 'one', 'simple', 'explanation', 'heat', 'wave', 'climate', 'change'"
92,"'good', 'story', 'talented', 'team', 'compel', 'theme', 'coalesce', 'bad', 'movie', 'surprisingly', 'yes', 'netflix', 'thriller', 'woman', 'window'"
93,"'matter', 'hard', 'film', 'try', 'false', 'positive', 'unable', 'ignore', 'life', 'unborn', 'child', 'inherent', 'horror', 'abortion'"
94,"'weekend', 'could', 'time', 'revisit', 'iconic', 'film', 'showcase', 'great', 'nation', 'earth'"
95,"'toby', 'keith', 'late', 'july', 'song', 'birthday', 'america', 'bring', 'tear', 'every', 'patriot', 'eye', 'write', 'daily', 'mail'"
96,"'fourth', 'july', 'every', 'fourth', 'july', 'go', 'forward', 'go', 'watch', 'video', 'new', 'york', 'time', 'put', 'together', 'january', 'mccaskill', 'say', 'msnbc', 'joe'"
97,"'hymn', 'powerful', 'apocalyptic', 'vision', 'reckoning', 'god', 'capture', 'civil', 'religion', 'sentiment', 'union', 'fight', 'freedom', 'people'"
98,"'nation', 'hat', 'survive', 'governable', 'nation', 'hatred', 'polarize', 'fee', 'polarization', 'grows'"
99,"'celebrate', 'founding', 'remember', 'govern', 'fundamental', 'principle', 'democrat', 'seek', 'eradicate'"
